노선명,기점정류장명,종점정류장명,운수회사명,출퇴근배차간격(분),평일배차간격(분),주말배차간격(분),주중상행첫차시간,주중상행막차시간,주말상행첫차시간,주말상행막차시간,주중하행첫차시간,주중하행막차시간,주말하행첫차시간,주말하행막차시간,안내사항,데이터기준일자
100,사기막골,가락시장.가락시장역,성남시내버스,150,160,160,05:10,16:40,05:10,16:40,06:00,17:40,06:00,17:40,,2025-11-13
100출,산성역.포레스티아동문,남위례역.창곡교차로,성남시내버스,,,,03:10,03:10,,,04:00,04:00,,,1일 1회 운행(주말 미운행),2025-11-13
101,오리역,수서역5번출구,대원버스,15,30,45,05:00,22:10,05:00,22:10,06:10,23:25,06:10,23:25,,2025-11-13
103,도촌동9단지앞,사당역(중),대원버스,20,30,40,05:00,21:50,05:00,21:50,06:10,23:20,06:10,23:20,,2025-11-13
200,도촌동행정복지센터,거여역5번출구,성남시내버스,30,40,65,05:00,22:00,05:00,22:00,06:10,23:10,06:10,23:10,,2025-11-13
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,성남시내버스,15,25,40,05:00,22:00,05:00,22:00,05:25,22:25,05:25,22:25,,2025-11-13
220,영원무역,한국학중앙연구원,성남시내버스,11,21,27,04:30,22:20,04:30,22:20,05:55,23:50,05:55,23:50,,2025-11-13
231,(임시)금토동삼거리,복정역환승센터1번승강장,성남시내버스,15,25,37,04:50,22:20,04:50,22:20,06:00,23:25,06:00,23:25,,2025-11-13
240,도촌동행정복지센터,남한산성입구,대명운수,7,9,11,05:00,23:00,05:00,23:00,05:35,23:40,05:35,23:40,,2025-11-13
250,도촌동행정복지센터,궁내동.궁안마을,성남시내버스,12,22,25,04:55,22:30,04:55,22:30,05:40,23:10,05:40,23:10,,2025-11-13
3-1,광주차고지,사기막골,대원버스,8,15,25,04:40,23:00,04:40,23:00,04:50,23:00,04:50,23:00,,2025-11-13
300,오리역,은대미,대원버스,5,20,30,04:50,23:30,04:50,23:30,04:50,23:30,04:50,23:30,,2025-11-13
310,오리역,(임시)금토동삼거리,대원버스,15,25,35,05:00,22:30,05:00,22:30,06:00,23:30,06:00,23:30,,2025-11-13
3100,(임시)금토동삼거리,우림아파트,대원버스,30,40,60,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,2025-11-13
315,(임시)금토동삼거리,복정역환승센터1번승강장,성남시내버스,12,22,35,05:00,22:00,05:00,22:00,06:05,23:10,06:05,23:10,,2025-11-13
33,사기막골,율동공원,성남시내버스,12,22,32,04:20,22:00,04:20,22:00,05:25,23:15,05:25,23:15,,2025-11-13
33-1,산성동,청구아파트,성남시내버스,14,24,30,04:10,22:00,04:10,22:00,05:35,23:10,05:35,23:10,,2025-11-13
330,산성동,운중초등학교,성남시내버스,10,20,25,04:30,22:00,04:30,22:00,05:25,23:00,05:25,23:00,,2025-11-13
331,성남동대형주차장,고속철도수서역,성남시내버스,18,28,35,05:00,22:00,05:00,22:00,05:55,23:05,05:55,23:05,,2025-11-13
333,자동차검사소.산성아파트,안양역,대원버스,10,25,30,04:50,23:20,04:50,23:20,05:00,23:20,05:00,23:20,,2025-11-13
3330,도촌동9단지앞,안양역,대원버스,5,15,20,04:50,23:30,04:50,23:30,05:00,23:30,05:00,23:30,,2025-11-13
340,판교대장로동측,영원무역,성남시내버스,17,27,40,04:40,22:00,04:40,22:00,04:40,23:10,04:40,23:10,,2025-11-13
341,운중동먹거리촌,청계산입구역,성남시내버스,17,27,30,04:50,22:00,04:50,22:00,05:40,22:55,05:40,22:55,,2025-11-13
342,영원무역,청계산옛골,성남시내버스,20,30,45,05:00,22:00,05:00,22:00,06:00,23:00,06:00,23:00,,2025-11-13
350,상대원차고지,한국학중앙연구원,대명운수,7,9,12,05:00,22:30,05:00,22:30,05:30,23:10,05:30,23:10,,2025-11-13
3500,오리역,케피코경기외국어고등학교,경기고속,10,25,30,04:50,23:20,04:50,23:20,05:20,23:20,05:20,23:20,,2025-11-13
351,구미동차고지앞,(임시)금토동삼거리,대명운수,15,20,20,05:00,22:30,05:00,22:30,06:00,23:35,06:00,23:35,,2025-11-13
357,상대원차고지,삼부아파트,대명운수,15,20,28,05:00,22:30,05:00,22:30,06:00,23:40,06:00,23:40,,2025-11-13
370,고등마을아파트,백현동종점,성남시내버스,25,35,60,05:00,22:00,05:00,22:00,05:30,22:35,05:30,22:35,,2025-11-13
375,사송동종점,운중고등학교,대원버스,12,25,30,05:00,22:50,05:00,22:50,06:00,23:50,06:00,23:50,,2025-11-13
380,동분당더퍼스트정문,판교대장초·중학교,성남시내버스,20,30,65,04:50,22:00,04:50,22:00,05:55,23:10,05:55,23:10,,2025-11-13
382,성남동대형주차장,(임시)금토동삼거리,성남시내버스,23,35,65,05:00,22:00,05:00,22:00,06:15,23:05,06:15,23:05,,2025-11-13
390,사송동.종점,동백역.용인세브란스병원,대원버스,15,20,40,05:20,23:00,05:20,23:00,05:20,23:00,05:20,23:00,,2025-11-13
4103,판교대장로동측,서울역버스환승센터(5번승강장)(중),대원버스,15,40,40,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,2025-11-13
4500,사송동종점,수원버스터미널,성남시내버스,30,40,50,04:40,22:30,04:40,22:30,06:00,23:45,06:00,23:45,,2025-11-13
50,선경아파트,복정역환승센터1번승강장,성남시내버스,7,17,22,05:00,22:30,05:00,22:30,05:50,23:25,05:50,23:25,,2025-11-13
