trip_id,arrival_time,departure_time,stop_id,stop_sequence
146_A,18:00:00,18:00:00,STOP_J,1
146_A,18:30:00,18:30:00,STOP_G,2
146_B,18:25:00,18:25:00,STOP_J,1
146_B,18:55:00,18:55:00,STOP_G,2
146_C,18:40:00,18:40:00,STOP_J,1
146_C,19:10:00,19:10:00,STOP_G,2
146_NIGHT,25:30:00,25:30:00,STOP_J,1
146_NIGHT,25:55:00,25:55:00,STOP_G,2
5001_A,18:10:00,18:10:00,STOP_P,1
5001_A,19:20:00,19:20:00,STOP_G,2
5001_B,18:25:00,18:25:00,STOP_P,1
5001_B,19:35:00,19:35:00,STOP_G,2
5001_C,18:55:00,18:55:00,STOP_P,1
5001_C,20:05:00,20:05:00,STOP_G,2
5002_A,18:15:00,18:15:00,STOP_P,1
5002_A,18:40:00,18:40:00,STOP_G,2
2_A,18:20:00,18:20:00,STOP_P,1
2_A,18:50:00,18:50:00,STOP_G,2
8_A,18:20:00,18:20:00,STOP_MS,1
8_A,18:40:00,18:40:00,STOP_JS,2
WRONG_A,18:05:00,18:05:00,STOP_P,1
